Year,State Name,Dist Name,ANNUAL RAINFALL (Millimeters)
1986,Madhya Pradesh,Seoni / Shivani,1271.1
1987,Madhya Pradesh,Seoni / Shivani,814.1
1988,Madhya Pradesh,Seoni / Shivani,1086.4
1989,Madhya Pradesh,Seoni / Shivani,1093.9
1990,Madhya Pradesh,Seoni / Shivani,1395.1
1991,Madhya Pradesh,Seoni / Shivani,829.9
1992,Madhya Pradesh,Seoni / Shivani,966.6
1993,Madhya Pradesh,Seoni / Shivani,1123.3
1994,Madhya Pradesh,Seoni / Shivani,1745.7
1995,Madhya Pradesh,Seoni / Shivani,1001.9
1996,Madhya Pradesh,Seoni / Shivani,1085.3
1997,Madhya Pradesh,Seoni / Shivani,1370.8
1998,Madhya Pradesh,Seoni / Shivani,1118.1
1999,Madhya Pradesh,Seoni / Shivani,1315.6
2000,Madhya Pradesh,Seoni / Shivani,756.4
2001,Madhya Pradesh,Seoni / Shivani,931.3
2002,Madhya Pradesh,Seoni / Shivani,1187.5
2003,Madhya Pradesh,Seoni / Shivani,1383.2
2004,Madhya Pradesh,Seoni / Shivani,753.8
2005,Madhya Pradesh,Seoni / Shivani,1449.1
2006,Madhya Pradesh,Seoni / Shivani,1322.5
2007,Madhya Pradesh,Seoni / Shivani,966.7
2008,Madhya Pradesh,Seoni / Shivani,942.9
2009,Madhya Pradesh,Seoni / Shivani,889.1
2012,Madhya Pradesh,Seoni / Shivani,1118.5
2013,Madhya Pradesh,Seoni / Shivani,1734.7
2014,Madhya Pradesh,Seoni / Shivani,880.3
2015,Madhya Pradesh,Seoni / Shivani,1013.7
1966,Madhya Pradesh,Mandla,982.1
1967,Madhya Pradesh,Mandla,1617.9
1968,Madhya Pradesh,Mandla,1392.1
1969,Madhya Pradesh,Mandla,1269
1970,Madhya Pradesh,Mandla,1671.3
1971,Madhya Pradesh,Mandla,1804.9
1972,Madhya Pradesh,Mandla,1153.5
1973,Madhya Pradesh,Mandla,1692.5
1974,Madhya Pradesh,Mandla,1103.2
1975,Madhya Pradesh,Mandla,1677.3
1976,Madhya Pradesh,Mandla,1008.1
1977,Madhya Pradesh,Mandla,1497.5
1978,Madhya Pradesh,Mandla,1352.1
1979,Madhya Pradesh,Mandla,829.1
1980,Madhya Pradesh,Mandla,1382.2
1981,Madhya Pradesh,Mandla,1224.8
1982,Madhya Pradesh,Mandla,1202.2
1983,Madhya Pradesh,Mandla,1472
1984,Madhya Pradesh,Mandla,1326.2
1985,Madhya Pradesh,Mandla,1479.1
1986,Madhya Pradesh,Mandla,1177.4
1987,Madhya Pradesh,Mandla,1333.7
1988,Madhya Pradesh,Mandla,1433.4
1989,Madhya Pradesh,Mandla,960.5
1990,Madhya Pradesh,Mandla,1858.3
1991,Madhya Pradesh,Mandla,1373.1
1992,Madhya Pradesh,Mandla,1070.5
1993,Madhya Pradesh,Mandla,1299.8
1994,Madhya Pradesh,Mandla,1992.8
1995,Madhya Pradesh,Mandla,1358.1
1996,Madhya Pradesh,Mandla,1131.4
1997,Madhya Pradesh,Mandla,1550
1998,Madhya Pradesh,Mandla,1246.3
1999,Madhya Pradesh,Mandla,1586.7
2000,Madhya Pradesh,Mandla,839.9
2001,Madhya Pradesh,Mandla,1402.3
2002,Madhya Pradesh,Mandla,990.8
2003,Madhya Pradesh,Mandla,1489.5
2004,Madhya Pradesh,Mandla,1164.1
2005,Madhya Pradesh,Mandla,1477.5
2006,Madhya Pradesh,Mandla,1139.7
2007,Madhya Pradesh,Mandla,1173.9
2008,Madhya Pradesh,Mandla,1503.5
2009,Madhya Pradesh,Mandla,836.9
2012,Madhya Pradesh,Mandla,1387.9
2013,Madhya Pradesh,Mandla,1828.1
2014,Madhya Pradesh,Mandla,1229.1
2015,Madhya Pradesh,Mandla,1195.8
1966,Madhya Pradesh,Sagar,909.4
1967,Madhya Pradesh,Sagar,982
1968,Madhya Pradesh,Sagar,741.8
1969,Madhya Pradesh,Sagar,1581.2
1970,Madhya Pradesh,Sagar,1240.6
1971,Madhya Pradesh,Sagar,1428.2
1972,Madhya Pradesh,Sagar,1050.4
1973,Madhya Pradesh,Sagar,1593
1974,Madhya Pradesh,Sagar,1157.8
1975,Madhya Pradesh,Sagar,1365.5
1976,Madhya Pradesh,Sagar,1013.4
1977,Madhya Pradesh,Sagar,1376.1
1978,Madhya Pradesh,Sagar,1261.9
1979,Madhya Pradesh,Sagar,802.3
1980,Madhya Pradesh,Sagar,1226.8
1981,Madhya Pradesh,Sagar,671.2
1982,Madhya Pradesh,Sagar,1456
1983,Madhya Pradesh,Sagar,1416.2
1984,Madhya Pradesh,Sagar,941.5
1985,Madhya Pradesh,Sagar,1219
1986,Madhya Pradesh,Sagar,940.7
1987,Madhya Pradesh,Sagar,1095
1988,Madhya Pradesh,Sagar,903.6
